alice: cherubims

bob: f32fb20d098584d7cfc39a40a0dce4f2 
chuck: cc4d706ba1c3017a156eeea9070dd9a9 
dan: 725321a069c71ab4a0d73b66f3a32544 
ed: stouthearted

frank: 00fcb586544c2be44180cd85eaf24921 
george: 6234e99a2940fa0eaa7d1f82537dfbb4 
harry: Nebuchadnezzar

isaac: b95ddb19c0ea2ca56778720a138aa0ce 
jack: 97c6be63844d947564b8687a019cc0f3 
ken: 4002e83daccc6a776c125d80b35e621c 
laura: 94b3f5c480dbba6c169bbc149269da14 
mary: spiritual
nancy: 5e084369ef95582a8b8690f1dc3ab8f4 
oprah: 11c65b1362122712dfd665a483e394d0 
pam: Wisdom
quin: resisteth
rob: e6fac5ee63591a415aa71616c86e9cae hjkl
sam: 17cec957462e3ba4d167943ebd50bc93 uiop
tom: Herod
